Feature,Description
original_glszm_LargeAreaEmphasis,Nhấn mạnh vùng đồng nhất lớn.
original_glszm_LargeAreaHighGrayLevelEmphasis,Nhấn mạnh vùng đồng nhất lớn có mức xám cao.
original_glszm_LargeAreaLowGrayLevelEmphasis,Nhấn mạnh vùng đồng nhất lớn có mức xám thấp.
original_glszm_LowGrayLevelZoneEmphasis,Nhấn mạnh các vùng đồng nhất có mức xám thấp.
original_glszm_SizeZoneNonUniformity,Mức không đồng nhất kích thước vùng đồng nhất.
original_glszm_SizeZoneNonUniformityNormalized,Chuẩn hóa của không đồng nhất kích thước vùng.
original_glszm_SmallAreaEmphasis,Nhấn mạnh vùng đồng nhất nhỏ.
original_glszm_SmallAreaHighGrayLevelEmphasis,Nhấn mạnh vùng nhỏ có mức xám cao.
original_glszm_SmallAreaLowGrayLevelEmphasis,Nhấn mạnh vùng nhỏ có mức xám thấp.
original_glszm_ZoneEntropy,Entropy phân bố vùng đồng nhất.
original_glszm_ZonePercentage,Tỉ lệ số vùng đồng nhất trên tổng số voxel.
original_glszm_ZoneVariance,Phương sai của kích thước vùng đồng nhất.
original_ngtdm_Busyness,Mức độ thay đổi nhanh của cường độ giữa voxel và lân cận.
original_ngtdm_Coarseness,"Độ thô của hình ảnh, cao khi thay đổi giữa voxel và hàng xóm là nhỏ."
original_ngtdm_Complexity,Độ phức tạp cường độ giữa voxel và hàng xóm.
original_ngtdm_Contrast,Tương phản giữa voxel trung tâm và lân cận.
original_ngtdm_Strength,Mức độ cấu trúc có tổ chức trong ảnh.
